OSD.flyTime [s],HOME.distance [ft],OSD.height [ft],OSD.longitude,OSD.latitude,OSD.altitude [ft]
0.1,3.2,0.0,74.6959868691762,26.4460633835211,2244
0.3,3.2,0.0,74.6959868989687,26.4460633574388,2244
0.5,3.2,0.0,74.6959869209101,26.4460633380916,2244
0.7,3.2,0.0,74.6959869378622,26.4460633214631,2244
0.9,3.2,0.0,74.6959869454216,26.4460633096306,2244
1.1,3.2,0.0,74.6959869510746,26.4460633000355,2244
1.3,3.2,0.0,74.6959869607424,26.4460632944583,2244
1.5,3.1,0.0,74.6959869865921,26.4460632910815,2244
1.7,3.1,0.0,74.695986987782,26.4460632871905,2244
1.9,3.1,0.0,74.6959870101252,26.4460632844155,2244
2.1,3.1,0.0,74.6959870212353,26.4460632602011,2244
2.3,3.1,0.0,74.6959870878978,26.4460632681224,2244
2.5,0.0,0.3,74.6959871436094,26.446063380176,2244
2.7,0.0,0.6,74.6959872068325,26.4460633955847,2245
2.9,0.0,0.6,74.6959872047002,26.4460633349878,2245
3.1,0.0,0.9,74.6959871259506,26.446063213886,2245
3.3,0.0,0.9,74.6959871432363,26.4460631186452,2245
3.5,0.0,1.3,74.6959871618411,26.4460630251358,2245
3.7,0.1,1.3,74.6959872157134,26.4460630034055,2245
3.9,0.1,1.3,74.6959872489681,26.4460630044542,2245
4.1,0.1,1.3,74.6959872689506,26.4460630133438,2245
4.3,0.1,1.6,74.695987261945,26.4460630219977,2246
4.5,0.1,1.6,74.695987260236,26.4460630454412,2246
4.7,0.0,1.6,74.6959872453756,26.4460630733843,2246
4.9,0.0,1.9,74.6959872349532,26.4460630701678,2246
5.3,0.0,2.6,74.6959872775062,26.4460630933809,2247
5.5,0.0,2.9,74.6959872783744,26.4460631426717,2247
5.7,0.0,3.2,74.6959872299328,26.4460631772614,2247
5.9,0.0,3.6,74.6959871451474,26.4460632211452,2248
6.1,0.0,3.9,74.6959871021962,26.446063232428,2248
6.3,0.0,3.9,74.6959870858827,26.4460632336277,2248
6.5,0.0,3.9,74.6959870928704,26.4460632654661,2248
6.7,0.0,3.9,74.6959871291664,26.4460633031938,2248
6.9,0.0,3.9,74.6959871688312,26.4460633103517,2248
7.1,0.0,3.9,74.6959871937038,26.4460633028625,2248
7.3,0.0,3.9,74.6959871944584,26.4460633114609,2248
7.5,0.0,3.9,74.6959871814242,26.4460633190695,2248
7.7,0.0,3.9,74.6959871917186,26.4460633353605,2248
7.9,0.0,3.9,74.6959872027186,26.4460633616903,2248
8.1,0.0,3.9,74.6959871844247,26.4460633917825,2248
8.3,0.0,3.9,74.6959871442612,26.4460634194068,2248
8.5,0.0,3.9,74.6959870642558,26.4460634650279,2248
8.7,0.0,3.9,74.6959870369675,26.4460634916474,2248
8.9,0.1,3.9,74.6959870376001,26.4460635241567,2248
9.1,0.1,3.9,74.6959870393438,26.4460635394391,2248
9.3,0.1,3.9,74.695987100901,26.446063576181,2248
9.5,0.1,3.9,74.695987125471,26.4460636135973,2248
9.9,0.1,3.9,74.6959871170745,26.4460636521223,2248
10.1,0.1,3.9,74.6959870801973,26.4460636681254,2248
10.3,0.1,3.9,74.695987012352,26.4460636907337,2248
10.5,0.1,3.9,74.6959869412538,26.4460637200402,2248
10.7,0.1,3.9,74.695986887421,26.446063770242,2248
10.9,0.2,3.9,74.6959868714209,26.4460638165707,2248
11.1,0.2,3.9,74.6959868221302,26.4460638620181,2248
11.3,0.2,3.9,74.6959867778874,26.4460638894165,2248
11.5,0.2,3.9,74.6959867550658,26.4460639346863,2248
11.7,0.2,3.9,74.6959867348441,26.4460639732681,2248
11.9,0.3,3.9,74.6959866993374,26.4460640291515,2248
12.3,0.3,3.9,74.6959866051222,26.4460640865606,2248
12.5,0.3,3.9,74.6959865920664,26.4460641111037,2248
12.7,0.3,3.9,74.6959865985674,26.4460641200609,2248
12.9,0.3,3.9,74.6959865903479,26.4460641249573,2248
13.3,0.3,4.2,74.6959865700461,26.4460641194555,2248
13.5,0.3,4.2,74.6959865735729,26.4460641227774,2248
13.7,0.3,4.2,74.695986579495,26.4460641357411,2248
13.9,0.3,4.2,74.6959865654191,26.4460641546143,2248
14.1,0.3,4.2,74.6959865370114,26.4460641640658,2248
14.3,0.3,4.2,74.6959865396328,26.4460641591272,2248
14.5,0.3,4.2,74.6959865360774,26.4460641680356,2248
14.7,0.3,4.2,74.6959865103856,26.4460641712048,2248
14.9,0.3,4.2,74.6959864554023,26.4460641803001,2248
15.1,0.4,4.2,74.6959863999251,26.4460641881888,2248
15.3,0.4,4.2,74.6959863755536,26.4460642075744,2248
15.5,0.4,4.2,74.6959863673604,26.4460642407891,2248
15.7,0.4,4.2,74.6959863594411,26.4460642868425,2248
15.9,0.4,4.2,74.6959863662255,26.4460643250092,2248
16.1,0.4,4.2,74.6959863703083,26.4460643359876,2248
